@azabache,cant serious fight prime victor ortiz draw unify prime amir khan take jeans diazs crawford fight fight prime danny garcia fight people think beat prime avanesyan come best win
@rahulcares,amir khan hire cell member bjp
@itssohailkhan,hello mam talk vikram vedah hindi remake amir khan saif ali khan
@skysportsboxing,brook vs khan talk years without happeninf anyone still care anymore heres take still worth make
@rajputramesh,use talk hypocrite people allah abkar religion slogan jai shree ram har har mahadev communal amir khan comment mahadev pk freedom speech mohammad movie hurt religious sentiment
@aslishivani,nowadays marriages r exactly base caste factor rather class factor decisivefor example tina dabi dalit upsc topper many marriage proposals brahmins choose marry atahar amir khan
@shiffazy,need argue give round covid icu witness old young death bed yeah dont forget forbid wear mask corona doesnt exist bother wear mask
@billebichud,hmko note chahiye speak shake head like amir khan
@iamsrk,prove r flop actor amir khan number
@snipertheboss,trash talk ricky burn
@ommiyar,apny workers ki list nahi dayty na agencies ko aur na hi amir khan subzwari kishwar zebra jaisay bharvo ko support krty ha
@givenquality,amir khan one worst chin box maidana couldnt even knock stop act like hes great fighter power fight floyd
@farmankhanvlogs,yes modi small man get
@amirtkhan,hi amir khan
@jubinhazra,amir khan
@tannu,amir khan wala come come bhai
@bbhuttozardari,fix one city despite power decades moral authority call imran khan incompetent
@sushantsin,ji accord indian govt pangong strategically important depsang amir khan do film shoot pangong
@sharmanagendar,aap strange kid country know corona get control delhi amit shah sardar patel covid hospital come picture
@impraf,go fact even amir khans uncle industry
@sumitkadei,movie make name khandaan actors produce production house amir salman sharukh saif say
@maahira,wont lie even aftr demise yeah didnt like movies name pk kedarnathkedarnath okbut movie pk amir khan make fun hindus condemn even todaybut never accuse ever roles outsider couldnt anything dis
@princekhiladi,fun fact
@dxnial,amir khan bbqs rain dont question iq
@stupidsuh,still aint type amir khan type
@bombsboxing,really mate amir khan fight khan quite bite ko
@stupidbirdapp,thats amir khan mum yes agree ksjsbs
@msw,yes sir sanders antisemitic surrogates include omar tlaib aoc amir khan list go
